accountid,region,service,resource_type,'tags_json','metadata_json'
123456789012,us-east-1,ec2,instance,'{"Name":"WebServer-01","Environment":"Production","SOL":"SFO","CCX":"ODM001","ENV":"PRD","CCO":"berthiaumc@rackspace.com","OWN":"lut@rackspace.com"}','{"InstanceType":"t3.medium","State":"running","LaunchTime":"2024-01-15"}'
123456789012,us-east-1,ec2,instance,'{"Name":"WebServer-02","Environment":"Production","SOL":"SFO","CCX":"ODM001","ENV":"PRD"}','{"InstanceType":"t3.medium","State":"running"}'
123456789012,us-east-1,ec2,instance,'{"Name":"AppServer-01","Environment":"Production","SOL":"CHI","CCX":"ODM002","ENV":"PRD"}','{"InstanceType":"m5.large","State":"running"}'
123456789012,us-east-1,s3,bucket,'{"Name":"data-lake-prod","Environment":"Production","SOL":"SFO","DataClassification":"Confidential"}','{"BucketSize":"2.5TB","ObjectCount":"125000"}'
123456789012,us-east-1,s3,bucket,'{"Name":"backups-prod","Environment":"Production","SOL":"SFO","DataType":"Backup"}','{"BucketSize":"5.2TB","StorageClass":"GLACIER"}'
123456789012,us-east-1,rds,database,'{"Name":"CustomerDB-Primary","Environment":"Production","SOL":"SFO","BackupSchedule":"Daily"}','{"Engine":"mysql","InstanceClass":"db.r5.large"}'
123456789012,us-east-1,lambda,function,'{"Name":"OrderProcessor","Environment":"Production","SOL":"SFO","Team":"Backend"}','{"Runtime":"python3.9","MemorySize":"1024MB"}'
123456789012,us-east-1,dynamodb,table,'{"Name":"UserSessions","Environment":"Production","SOL":"SFO"}','{"ItemCount":"5000000","BillingMode":"ON_DEMAND"}'
123456789012,us-west-2,ec2,instance,'{"Name":"WebServer-West-01","Environment":"Production","SOL":"LAX","CCX":"ODM003"}','{"InstanceType":"t3.large","State":"running"}'
123456789012,us-west-2,ec2,instance,'{"Name":"WebServer-West-02","Environment":"Production","SOL":"LAX","CCX":"ODM003"}','{"InstanceType":"t3.large","State":"running"}'
123456789012,us-west-2,s3,bucket,'{"Name":"media-assets-west","Environment":"Production","SOL":"LAX"}','{"BucketSize":"800GB","ContentType":"Media"}'
123456789012,us-west-2,cloudfront,distribution,'{"Name":"cdn-west","Environment":"Production","SOL":"LAX"}','{"Status":"Deployed","PriceClass":"PriceClass_All"}'
234567890123,us-east-1,ec2,instance,'{"Name":"DevServer-01","Environment":"Development","SOL":"NYC","Team":"DevOps"}','{"InstanceType":"t3.small","State":"stopped"}'
